seed,coef_seed,train_seed,direction,true_x,true_y,true_z,pred_x,pred_y,pred_z,l2_at_peak,sh_elv_rmse,sh_rot_rmse,elbow_rmse,wrist_rmse,mean_l2
0_0,0,0,0_right,51.353928,-6.801852,-2.9304283,49.748573,-6.3425484,-2.8292513,1.6728297,1.1120814,1.3141793,1.3101636,0.7068746,1.0025849
0_0,0,0,135_fwd_left,34.28286,0.2692157,-2.9304287,32.90774,0.9686489,-2.9030304,1.543019,1.1857349,0.58149505,0.8382877,0.557826,0.8357785
0_0,0,0,180_left,31.353933,-6.801854,-2.9304256,30.295984,-7.5566063,-3.4760895,1.409488,1.1701826,0.44215822,0.73397654,0.5565911,0.8300601
0_0,0,0,225_back_left,34.28286,-13.872919,-2.930426,33.760056,-13.61364,-2.9273815,0.5835746,1.1990693,0.8733342,0.6517996,0.508102,0.7438786
0_0,0,0,270_backward,41.353928,-16.801853,-2.930425,40.444107,-17.555014,-3.2539587,1.2246217,1.0094621,0.8507305,0.8095687,0.52755886,0.7958058
0_0,0,0,315_back_right,48.424995,-13.872917,-2.9304233,47.72133,-13.915098,-2.6363497,0.76380974,1.0216997,0.55496645,1.1031406,0.46803662,0.7442939
0_0,0,0,45_fwd_right,48.424995,0.2692162,-2.930429,46.342804,-1.3320293,-3.2646704,2.647872,1.153442,1.4689419,1.5725312,1.0162206,1.2954628
0_0,0,0,90_forward,41.353928,3.198148,-2.930426,39.11371,2.057724,-3.3703537,2.5519962,1.4233396,0.79574007,0.99319834,1.0264328,1.280152
0_0,0,0,g000_r04,45.353928,-6.8018517,-2.9304247,44.272743,-6.732379,-2.957138,1.0837435,1.0146745,0.3958057,0.79465663,0.47957703,0.754917
0_0,0,0,g000_r08,49.353928,-6.8018527,-2.9304292,47.77307,-6.6679,-3.1764994,1.6054907,1.1351179,0.89121735,1.4111392,0.64831764,0.94257843
0_0,0,0,g000_r12,53.353928,-6.8018503,-2.9304237,51.921494,-6.286318,-2.148405,1.711489,1.1308718,1.734937,1.1921479,0.8206778,1.0958462
0_0,0,0,g015_r04,45.217632,-5.766576,-2.930426,43.999504,-5.6597605,-2.9778204,1.2237206,1.0180144,0.55824924,0.87823534,0.5104744,0.7906897
0_0,0,0,g015_r08,49.081337,-4.7312956,-2.930421,47.23096,-5.0778837,-3.1819305,1.899282,1.0892127,1.0503743,1.4240636,0.7360883,1.0300956
0_0,0,0,g015_r12,52.945038,-3.6960225,-2.9304283,51.04641,-4.012396,-2.3608704,2.007306,1.1018816,1.9953891,1.3307967,0.9174855,1.1990228
0_0,0,0,g030_r04,44.818035,-4.8018527,-2.9304273,43.548737,-4.717704,-2.928568,1.2720861,1.0151093,0.7183504,0.9088023,0.54363906,0.8251598
0_0,0,0,g030_r08,48.28213,-2.801852,-2.9304276,46.48192,-3.4822092,-3.2129583,1.9451159,1.106393,1.0846137,1.3312645,0.7843386,1.0701803
0_0,0,0,g030_r12,51.746235,-0.80185294,-2.9304292,49.526814,-2.16716,-2.7218676,2.614076,1.1543385,1.9975035,1.5541973,1.0277027,1.3150961
